Trait;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;
66;9999999884;9999999942;9999999936;9999999770;9999999914;9999999868;9999999786;9999999934;9999999918;9999999894;9999999828;9999999842;9999999806;9999999926;9999999628;9999999874;9999999880;9999999774;9999999844;9999999760;9999999734;9999999826;9999999924;9999999804;
67;9999999936;9999999956;9999999958;9999999898;9999999948;9999999944;9999999884;9999999964;9999999960;9999999952;9999999934;9999999908;9999999902;9999999964;9999999826;9999999946;9999999940;9999999868;9999999912;9999999878;9999999852;9999999902;9999999964;9999999910;
68;9999999956;9999999980;9999999984;9999999948;9999999974;9999999962;9999999946;9999999980;9999999978;9999999970;9999999970;9999999940;9999999948;9999999986;9999999922;9999999968;9999999970;9999999918;9999999954;9999999940;9999999926;9999999950;9999999984;9999999962;
69;9999999982;9999999994;9999999994;9999999960;9999999986;9999999972;9999999960;9999999982;9999999984;9999999996;9999999970;9999999960;9999999978;9999999994;9999999966;9999999978;9999999984;9999999952;9999999976;9999999974;9999999938;9999999968;9999999990;9999999982;
70;9999999990;9999999998;9999999996;9999999986;9999999992;9999999992;9999999982;9999999988;9999999992;9999999998;9999999982;9999999982;9999999988;9999999998;9999999982;9999999982;9999999992;9999999966;9999999994;9999999994;9999999980;9999999984;9999999992;9999999994;
71;9999999996;9999999998;9999999996;9999999994;9999999992;9999999998;9999999992;9999999996;9999999996;9999999998;9999999990;9999999988;9999999996;9999999998;9999999990;9999999992;9999999996;9999999978;9999999998;9999999998;9999999988;9999999994;9999999998;10000000000;
72;9999999998;10000000000;9999999998;9999999998;9999999994;10000000000;9999999998;9999999998;10000000000;9999999998;9999999994;9999999992;10000000000;10000000000;9999999994;9999999996;9999999998;9999999994;9999999998;10000000000;9999999994;9999999994;10000000000;10000000000;
73;10000000000;10000000000;10000000000;10000000000;9999999996;10000000000;9999999998;9999999998;10000000000;10000000000;9999999998;9999999994;10000000000;10000000000;9999999996;9999999996;10000000000;9999999998;10000000000;10000000000;9999999996;9999999998;10000000000;10000000000;
74;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;9999999998;9999999998;10000000000;10000000000;10000000000;9999999996;10000000000;10000000000;9999999998;9999999996;10000000000;10000000000;10000000000;10000000000;9999999996;9999999998;10000000000;10000000000;
75;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;10000000000;10000000000;9999999996;10000000000;10000000000;10000000000;10000000000;9999999998;9999999998;10000000000;10000000000;
76;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
77;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;9999999998;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
78;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
79;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
80;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
81;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
82;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;10000000000;
